MATCH: phishing_mails/303 -> similarity=4769.00, yara_score=0.00, total=4769.00
NO MATCH: phishing_mails/304 -> similarity=710.00, yara_score=0.00, total=710.00
MATCH: phishing_mails/305 -> similarity=2635.00, yara_score=0.00, total=2635.00
MATCH: phishing_mails/306 -> similarity=1092.00, yara_score=0.00, total=1092.00
MATCH: phishing_mails/307 -> similarity=916.00, yara_score=0.00, total=916.00
NO MATCH: phishing_mails/308 -> similarity=535.00, yara_score=0.00, total=535.00
MATCH: phishing_mails/309 -> similarity=1444.00, yara_score=0.00, total=1444.00
MATCH: phishing_mails/310 -> similarity=2265.00, yara_score=0.00, total=2265.00
MATCH: phishing_mails/311 -> similarity=2050.00, yara_score=0.00, total=2050.00
MATCH: phishing_mails/312 -> similarity=6924.00, yara_score=0.00, total=6924.00
NO MATCH: phishing_mails/313 -> similarity=390.00, yara_score=0.00, total=390.00
MATCH: phishing_mails/314 -> similarity=1695.00, yara_score=0.00, total=1695.00
NO MATCH: phishing_mails/315 -> similarity=448.00, yara_score=0.00, total=448.00
MATCH: phishing_mails/316 -> similarity=1256.00, yara_score=0.00, total=1256.00
NO MATCH: phishing_mails/317 -> similarity=628.00, yara_score=0.00, total=628.00
MATCH: phishing_mails/318 -> similarity=2237.00, yara_score=0.00, total=2237.00
MATCH: phishing_mails/319 -> similarity=2052.00, yara_score=0.00, total=2052.00
NO MATCH: phishing_mails/320 -> similarity=723.00, yara_score=0.00, total=723.00
MATCH: phishing_mails/321 -> similarity=778.00, yara_score=0.00, total=778.00
MATCH: phishing_mails/322 -> similarity=1153.00, yara_score=0.00, total=1153.00
MATCH: phishing_mails/323 -> similarity=2181.00, yara_score=0.00, total=2181.00
MATCH: phishing_mails/324 -> similarity=2688.00, yara_score=0.00, total=2688.00
NO MATCH: phishing_mails/325 -> similarity=579.00, yara_score=0.00, total=579.00
MATCH: phishing_mails/326 -> similarity=1089.00, yara_score=0.00, total=1089.00
MATCH: phishing_mails/327 -> similarity=815.00, yara_score=0.00, total=815.00
MATCH: phishing_mails/328 -> similarity=1166.00, yara_score=0.00, total=1166.00
NO MATCH: phishing_mails/329 -> similarity=428.00, yara_score=0.00, total=428.00
MATCH: phishing_mails/330 -> similarity=5269.00, yara_score=0.00, total=5269.00
NO MATCH: phishing_mails/331 -> similarity=713.00, yara_score=0.00, total=713.00
MATCH: phishing_mails/332 -> similarity=6929.00, yara_score=0.00, total=6929.00
MATCH: phishing_mails/333 -> similarity=1477.00, yara_score=0.00, total=1477.00
NO MATCH: phishing_mails/334 -> similarity=565.00, yara_score=0.00, total=565.00
NO MATCH: phishing_mails/335 -> similarity=468.00, yara_score=0.00, total=468.00
MATCH: phishing_mails/336 -> similarity=9126.00, yara_score=0.00, total=9126.00
MATCH: phishing_mails/337 -> similarity=1299.00, yara_score=0.00, total=1299.00
NO MATCH: phishing_mails/338 -> similarity=616.00, yara_score=0.00, total=616.00
MATCH: phishing_mails/339 -> similarity=839.00, yara_score=0.00, total=839.00
MATCH: phishing_mails/340 -> similarity=1061.00, yara_score=0.00, total=1061.00
NO MATCH: phishing_mails/341 -> similarity=681.00, yara_score=0.00, total=681.00
MATCH: phishing_mails/342 -> similarity=1559.00, yara_score=0.00, total=1559.00
